respondent_id,age,bedtime_screen_time_minutes,total_daily_screen_time_hours,doomscroll_sessions_per_night,avg_doomscroll_session_minutes,sleep_hours_per_night,sleep_latency_minutes,number_of_night_wakeups,caffeine_intake_mg_per_day,anxiety_score,stress_score,sleep_quality_score,daytime_fatigue_score,number_of_news_apps_used,phone_checks_per_night,exercise_minutes_per_day,days_since_last_digital_detox,weekly_sleep_debt_hours,gender,occupation_status,country_region,primary_device_used_at_night,bedtime_routine_type,uses_night_mode,keeps_phone_in_bedroom,consumes_negative_news_content,uses_sleep_tracking_app,doomscroller,sleep_quality_category
D30018,27,17.0,2.3,0,18.3,8.0,35.0,1,226.0,5,9,5.0,6,1,5,11.0,112.0,0.0,Male,Student,United Kingdom,Smartphone,Watching Videos,Yes,No,No,No,No,Fair
D30019,41,22.0,1.01,0,22.5,8.2,28.0,0,380.0,6,8,5.0,6,0,1,53.0,24.0,1.5,Female,Employed Full-time,India,Smartphone,Watching Videos,Yes,Yes,Yes,Yes,No,Good
D30020,23,58.0,2.79,2,30.7,8.0,12.0,4,108.0,3,5,5.0,7,1,4,72.0,70.0,1.1,Female,Student,Nigeria,TV,Reading,No,Yes,No,No,Yes,Fair
D30021,26,40.0,2.11,1,36.4,7.7,33.0,1,122.0,7,5,5.0,6,0,1,38.0,0.0,0.2,Male,Unemployed,United Kingdom,Smartphone,No Fixed Routine,No,Yes,Yes,No,No,Fair
D30022,33,79.0,3.88,2,41.5,7.0,37.0,1,76.0,3,3,5.0,6,3,1,96.0,27.0,6.2,Male,Unemployed,United States,Smartphone,No Fixed Routine,Yes,Yes,No,No,Yes,Fair
D30023,25,56.0,5.98,3,22.6,8.8,36.0,2,165.0,4,8,5.0,4,1,2,39.0,51.0,0.0,Female,Employed Part-time,United States,Smartphone,Scrolling Social Media,Yes,Yes,No,Yes,Yes,Fair
D30024,31,28.0,1.18,2,5.6,7.4,17.0,1,177.0,4,5,5.0,5,2,2,47.0,57.0,5.1,Male,Employed Part-time,India,Smartphone,Meditation/Journaling,Yes,Yes,No,Yes,No,Fair
D30025,24,36.0,1.93,1,37.7,6.8,17.0,1,64.0,5,7,5.0,5,0,1,50.0,47.0,7.8,Male,Employed Full-time,India,Smartphone,Meditation/Journaling,Yes,Yes,No,No,No,Good
D30026,28,100.0,5.38,4,21.1,7.4,32.0,3,,5,7,5.0,4,1,4,81.0,69.0,3.4,Female,Employed Full-time,Canada,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Poor
D30027,30,73.0,8.15,3,21.0,6.7,52.0,2,113.0,3,6,5.0,6,3,4,70.0,54.0,7.5,Male,Student,Nigeria,Smartphone,Reading,Yes,No,Yes,No,No,Poor
D30028,17,41.0,3.64,3,12.5,7.9,35.0,1,165.0,4,4,5.0,4,3,1,67.0,24.0,2.0,Female,Employed Full-time,Nigeria,Smartphone,Reading,No,Yes,No,Yes,Yes,Poor
D30029,18,19.0,2.94,2,13.0,7.1,19.0,0,,4,6,5.0,5,0,2,75.0,5.0,6.9,Female,Employed Full-time,United States,TV,Scrolling Social Media,Yes,No,No,No,Yes,Fair
D30030,15,43.0,2.46,2,26.7,7.5,28.0,2,24.0,2,2,5.0,5,1,2,,21.0,4.6,Male,Student,United States,Laptop,Scrolling Social Media,No,Yes,No,Yes,No,Fair
D30031,37,65.0,4.03,3,19.8,6.0,33.0,3,172.0,6,6,5.0,6,2,4,54.0,11.0,17.4,Male,Employed Full-time,Nigeria,Smartphone,Watching Videos,No,Yes,No,No,Yes,Fair
D30032,25,21.0,1.93,0,18.0,8.0,7.0,1,249.0,3,7,5.0,4,2,3,30.0,36.0,0.0,Male,Employed Full-time,Brazil,Smartphone,Reading,Yes,No,No,No,No,Good
D30033,24,128.0,7.01,4,34.1,7.1,59.0,1,62.0,8,9,4.0,6,1,3,21.0,15.0,4.4,Male,Student,United States,TV,Reading,No,No,Yes,No,Yes,Fair
D30034,41,43.0,4.31,0,40.3,7.9,19.0,3,111.0,7,7,5.0,5,5,5,50.0,61.0,0.0,Male,Employed Full-time,Brazil,Smartphone,Watching Videos,No,Yes,Yes,No,No,Fair
D30035,19,19.0,4.06,0,27.9,7.0,21.0,1,122.0,4,8,5.0,4,2,1,75.0,123.0,7.6,Male,Employed Full-time,Philippines,Smartphone,Meditation/Journaling,No,Yes,No,Yes,No,Good
D30036,15,18.0,3.09,1,19.1,7.3,24.0,2,88.0,4,6,5.0,7,3,2,76.0,48.0,5.2,Male,Employed Part-time,Canada,Smartphone,No Fixed Routine,No,Yes,Yes,No,No,Poor
D30037,24,24.0,1.18,1,23.0,7.3,10.0,0,61.0,6,6,5.0,4,0,0,73.0,81.0,7.1,Female,Employed Full-time,Germany,Smartphone,Watching Videos,Yes,Yes,No,Yes,No,Fair
D30038,19,59.0,2.83,2,29.3,7.8,25.0,1,46.0,3,3,5.0,6,1,2,30.0,30.0,2.1,Male,Student,Nigeria,Smartphone,No Fixed Routine,No,Yes,No,No,Yes,Good
D30039,36,26.0,1.81,2,11.0,8.4,31.0,3,218.0,4,6,5.0,4,1,3,64.0,104.0,0.0,Male,Student,Australia,Laptop,Watching Videos,No,Yes,No,No,Yes,Fair
D30040,26,23.0,1.4,1,21.6,7.6,2.0,4,93.0,9,8,5.0,5,2,4,70.0,0.0,5.3,Female,Employed Full-time,Germany,Tablet,Watching Videos,Yes,Yes,No,No,No,Poor
D30041,30,158.0,6.4,6,27.5,6.1,66.0,4,115.0,8,7,4.0,10,2,4,43.0,35.0,16.2,Female,Employed Part-time,India,Smartphone,Scrolling Social Media,No,Yes,Yes,Yes,Yes,Poor
D30042,28,173.0,8.28,7,25.0,6.1,73.0,2,13.0,8,9,5.0,6,3,3,51.0,71.0,15.4,Male,Student,United Kingdom,Smartphone,Watching Videos,No,Yes,Yes,Yes,Yes,Poor
D30043,35,108.0,4.81,4,31.6,6.8,35.0,1,42.0,9,8,5.0,6,0,2,20.0,1.0,8.5,Male,Employed Full-time,United States,Smartphone,No Fixed Routine,No,Yes,Yes,No,Yes,Fair
D30044,25,100.0,4.66,6,13.6,7.7,58.0,3,130.0,5,6,5.0,4,2,5,41.0,13.0,5.7,Female,Student,Australia,Tablet,Watching Videos,Yes,Yes,No,No,Yes,Poor
D30045,29,117.0,5.93,5,25.3,6.6,57.0,2,106.0,5,9,5.0,5,1,2,0.0,3.0,9.7,Female,Employed Part-time,Germany,Smartphone,Meditation/Journaling,No,Yes,Yes,No,Yes,Poor
D30046,19,15.0,2.45,1,13.1,7.6,31.0,2,90.0,4,4,5.0,5,1,5,40.0,25.0,4.2,Female,Employed Full-time,India,Smartphone,Scrolling Social Media,Yes,Yes,Yes,No,Yes,Good
D30047,26,65.0,8.77,2,34.6,6.7,47.0,2,66.0,2,4,5.0,6,1,2,64.0,34.0,8.0,Female,Employed Full-time,UAE,Smartphone,No Fixed Routine,No,No,No,No,No,Fair
D30048,16,41.0,1.68,1,38.1,7.1,34.0,0,123.0,5,6,5.0,5,2,2,29.0,1.0,3.3,Female,Unemployed,Germany,Smartphone,Meditation/Journaling,No,Yes,No,No,Yes,Fair
D30049,24,152.0,6.54,6,29.7,6.4,51.0,6,183.0,6,9,5.0,9,3,9,30.0,50.0,9.3,Female,Student,India,Smartphone,Meditation/Journaling,No,No,No,Yes,Yes,Poor
D30050,22,16.0,2.26,2,2.6,9.0,29.0,0,261.0,3,5,,5,2,2,21.0,64.0,0.0,Male,Student,India,TV,Meditation/Journaling,Yes,No,Yes,No,Yes,Good
D30051,15,108.0,4.77,5,24.4,6.9,41.0,3,79.0,5,5,4.0,9,2,6,40.0,1.0,8.5,Prefer not to say,Unemployed,Canada,Smartphone,Meditation/Journaling,No,Yes,Yes,No,Yes,Poor
D30052,25,12.0,2.29,1,10.3,6.7,30.0,0,111.0,2,5,4.0,5,1,0,31.0,22.0,11.4,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Poor
D30053,27,38.0,1.5,0,38.1,8.4,17.0,0,41.0,5,6,5.0,4,1,0,50.0,87.0,0.0,Male,Employed Full-time,India,Tablet,Scrolling Social Media,Yes,Yes,Yes,No,No,Good
D30054,31,50.0,2.26,3,20.3,5.6,31.0,1,14.0,2,4,5.0,5,1,1,50.0,7.0,15.9,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,Yes,Yes,No,No,No,Poor
D30055,25,71.0,3.91,3,26.7,6.5,35.0,2,90.0,4,9,4.0,7,3,3,18.0,64.0,9.5,Female,Student,India,TV,Scrolling Social Media,Yes,Yes,No,Yes,Yes,Fair
D30056,20,62.0,5.98,4,19.6,6.7,41.0,1,26.0,5,6,5.0,7,1,2,49.0,47.0,8.1,Male,Employed Part-time,Canada,Smartphone,Watching Videos,Yes,No,Yes,Yes,Yes,Poor
D30057,17,65.0,5.37,2,29.5,7.8,41.0,2,52.0,7,8,5.0,7,1,3,53.0,32.0,0.6,Male,Unemployed,UAE,Smartphone,Scrolling Social Media,Yes,Yes,Yes,No,Yes,Good
D30058,20,101.0,7.29,5,23.3,5.5,43.0,4,86.0,5,6,4.0,10,2,4,21.0,1.0,16.1,Male,Employed Full-time,United Kingdom,TV,Scrolling Social Media,Yes,No,No,No,Yes,Poor
D30059,34,31.0,4.32,2,16.6,7.5,16.0,1,204.0,5,5,5.0,4,1,1,51.0,8.0,0.9,Male,Employed Full-time,United States,Laptop,Meditation/Journaling,Yes,Yes,No,No,Yes,Poor
D30060,40,70.0,3.62,2,39.3,6.6,28.0,1,56.0,6,5,5.0,5,2,4,13.0,95.0,9.8,Female,Student,India,Smartphone,Watching Videos,Yes,No,Yes,No,Yes,Poor
D30061,33,12.0,1.99,0,12.3,7.8,8.0,1,164.0,5,6,5.0,6,0,2,21.0,4.0,0.0,Male,Student,UAE,Smartphone,Watching Videos,Yes,No,Yes,Yes,No,Good
D30062,15,15.0,1.76,1,14.3,9.1,9.0,0,79.0,5,6,5.0,5,1,1,,9.0,0.0,Male,Employed Full-time,Canada,Tablet,Scrolling Social Media,Yes,Yes,Yes,No,No,Good
D30063,34,6.0,1.86,2,4.5,7.1,9.0,1,103.0,6,8,5.0,5,4,2,55.0,32.0,6.8,Male,Unemployed,India,Smartphone,Watching Videos,No,Yes,Yes,No,Yes,Fair
D30064,29,46.0,2.26,3,16.7,7.9,8.0,1,86.0,4,6,5.0,4,3,4,47.0,21.0,0.8,Female,Student,Philippines,Smartphone,Reading,Yes,No,No,Yes,No,Good
D30065,15,23.0,10.27,0,21.4,7.9,2.0,1,302.0,7,9,5.0,5,3,1,88.0,71.0,0.0,Female,Employed Full-time,India,Smartphone,Scrolling Social Media,No,Yes,Yes,No,No,Good
D30066,38,25.0,1.02,1,27.1,9.3,37.0,1,112.0,8,10,5.0,5,1,2,53.0,89.0,0.0,Female,Employed Full-time,India,Smartphone,No Fixed Routine,Yes,Yes,Yes,Yes,Yes,Fair
D30067,39,40.0,2.84,1,40.3,8.6,35.0,0,23.0,3,5,5.0,8,1,0,38.0,71.0,0.0,Female,Student,United States,Smartphone,Scrolling Social Media,Yes,Yes,Yes,No,No,Good
D30068,26,46.0,2.5,3,12.1,7.6,14.0,1,205.0,5,5,5.0,8,0,2,72.0,11.0,5.9,Male,Student,India,Smartphone,Watching Videos,No,Yes,No,No,No,Good
D30069,30,31.0,1.62,2,18.0,7.0,21.0,1,89.0,2,3,5.0,8,0,3,53.0,17.0,5.6,Female,Student,India,Laptop,No Fixed Routine,Yes,Yes,Yes,No,No,Good
D30070,27,27.0,2.27,2,14.1,7.2,12.0,1,154.0,4,5,5.0,5,1,2,73.0,31.0,6.9,Female,Employed Part-time,United Kingdom,TV,Reading,No,No,Yes,No,No,Good
D30071,33,25.0,1.74,2,8.4,7.5,20.0,0,226.0,2,6,5.0,3,3,2,72.0,31.0,3.9,Male,Student,India,Smartphone,No Fixed Routine,No,Yes,No,No,Yes,Poor
D30072,19,38.0,2.6,3,12.0,9.1,40.0,2,134.0,5,7,5.0,9,0,2,37.0,59.0,0.0,Male,Unemployed,United States,Laptop,No Fixed Routine,No,Yes,Yes,Yes,Yes,Fair
D30073,22,10.0,1.65,0,10.3,9.0,22.0,3,61.0,3,3,5.0,4,2,5,55.0,84.0,0.0,Female,Student,Germany,Smartphone,Meditation/Journaling,Yes,Yes,Yes,No,Yes,Poor
D30074,16,92.0,4.12,3,31.6,6.7,56.0,1,103.0,4,6,,6,0,2,46.0,9.0,8.9,Female,Student,India,Smartphone,Watching Videos,No,No,No,Yes,No,Poor
D30075,28,68.0,3.37,2,34.0,7.1,43.0,1,66.0,3,7,5.0,7,1,1,69.0,2.0,6.5,Female,Employed Part-time,United States,Smartphone,Reading,No,Yes,No,No,Yes,Fair
D30076,28,119.0,5.3,4,29.3,6.8,50.0,3,430.0,5,6,5.0,8,0,3,27.0,68.0,9.6,Male,Student,Canada,Smartphone,Watching Videos,No,Yes,Yes,No,Yes,Poor
D30077,23,37.0,2.09,2,15.8,7.6,27.0,0,110.0,5,10,5.0,5,1,0,72.0,47.0,2.9,Male,Employed Full-time,Germany,Laptop,Reading,Yes,No,Yes,No,No,Fair
D30078,37,58.0,9.85,3,16.3,7.4,35.0,3,133.0,5,4,5.0,4,1,5,70.0,49.0,7.6,Male,Employed Full-time,Philippines,TV,Watching Videos,Yes,Yes,Yes,No,Yes,Poor
D30079,21,84.0,4.84,4,20.2,7.5,40.0,1,108.0,9,7,5.0,7,0,2,11.0,32.0,2.6,Male,Student,Philippines,Smartphone,Scrolling Social Media,Yes,Yes,Yes,No,Yes,Fair
D30080,18,19.0,5.05,2,4.0,8.1,10.0,2,22.0,3,4,5.0,5,0,3,20.0,70.0,1.9,Female,Employed Full-time,Brazil,Smartphone,No Fixed Routine,Yes,No,No,No,No,Good
D30081,26,48.0,3.3,5,6.8,6.0,23.0,3,84.0,5,6,5.0,8,1,3,72.0,44.0,12.8,Male,Employed Part-time,Philippines,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Poor
D30082,38,53.0,2.74,2,26.3,7.0,32.0,3,110.0,3,5,4.0,10,1,5,25.0,37.0,5.9,Female,Student,Brazil,Tablet,No Fixed Routine,Yes,Yes,Yes,No,Yes,Poor
D30083,22,50.0,3.99,4,9.1,7.4,9.0,3,202.0,6,7,5.0,8,0,5,85.0,53.0,7.1,Female,Employed Part-time,India,TV,,No,Yes,Yes,No,Yes,Fair
D30084,15,45.0,6.26,0,47.1,7.2,25.0,0,150.0,6,7,5.0,4,2,2,28.0,51.0,5.2,Male,Student,Nigeria,TV,Scrolling Social Media,Yes,No,No,Yes,No,Fair
D30085,17,28.0,4.33,1,22.8,7.6,13.0,1,157.0,5,7,5.0,5,1,1,77.0,13.0,2.0,Female,Employed Full-time,United States,Smartphone,Scrolling Social Media,Yes,No,Yes,No,No,Fair
D30086,15,63.0,3.34,1,66.9,7.4,27.0,2,83.0,4,4,5.0,6,0,3,66.0,1.0,0.8,Female,Unemployed,United States,Tablet,Scrolling Social Media,Yes,Yes,No,Yes,No,Fair
D30087,29,58.0,7.22,2,28.9,8.1,17.0,0,35.0,4,5,5.0,7,3,0,58.0,45.0,0.0,Prefer not to say,Student,UAE,Smartphone,Scrolling Social Media,No,Yes,No,No,No,Good
D30088,22,128.0,6.3,6,18.4,5.5,37.0,2,20.0,7,7,5.0,6,0,3,55.0,44.0,16.0,Male,Employed Part-time,Canada,Smartphone,Scrolling Social Media,Yes,Yes,No,No,Yes,Poor
D30089,30,73.0,4.1,5,17.0,6.9,38.0,2,44.0,7,9,5.0,6,1,6,47.0,71.0,8.2,Female,Student,United States,Smartphone,Meditation/Journaling,No,Yes,Yes,Yes,No,Fair
D30090,29,22.0,1.68,3,10.4,8.0,9.0,3,219.0,5,6,5.0,7,1,3,76.0,42.0,1.4,Female,Student,Canada,Smartphone,Scrolling Social Media,Yes,Yes,No,No,No,Poor
D30091,15,51.0,5.96,2,23.6,7.9,27.0,1,257.0,4,4,5.0,7,3,4,47.0,39.0,3.4,Male,Employed Full-time,United Kingdom,Smartphone,Scrolling Social Media,No,Yes,No,Yes,No,Fair
D30092,22,124.0,5.81,5,26.7,6.8,64.0,2,86.0,3,7,5.0,7,4,4,17.0,43.0,8.0,Female,Employed Full-time,Canada,Smartphone,Scrolling Social Media,Yes,Yes,No,Yes,Yes,Poor
D30093,38,82.0,5.58,4,14.5,7.5,28.0,1,281.0,5,5,5.0,3,7,3,64.0,66.0,5.3,Female,Student,India,Tablet,Watching Videos,No,Yes,Yes,No,Yes,Good
D30094,32,119.0,6.56,7,21.8,6.4,49.0,3,76.0,8,7,4.0,9,2,3,11.0,5.0,11.8,Female,Student,United States,Smartphone,No Fixed Routine,No,Yes,Yes,No,Yes,Poor
D30095,28,50.0,2.32,3,17.0,7.9,8.0,1,125.0,4,5,5.0,6,2,1,61.0,33.0,1.0,Female,Employed Part-time,Brazil,Smartphone,No Fixed Routine,No,Yes,No,No,No,Good
D30096,38,104.0,4.92,3,33.5,6.5,53.0,2,73.0,6,5,4.0,7,0,3,60.0,34.0,13.2,Male,,United States,Smartphone,Scrolling Social Media,Yes,Yes,Yes,No,Yes,Poor
D30097,35,50.0,5.97,5,8.4,7.5,31.0,3,55.0,1,3,4.0,7,0,5,75.0,16.0,4.4,Female,Employed Full-time,United States,Smartphone,No Fixed Routine,No,No,No,No,Yes,Poor
D30098,30,27.0,1.51,2,11.0,7.3,25.0,4,131.0,6,8,,7,3,4,59.0,68.0,5.7,Prefer not to say,Student,India,Smartphone,Reading,Yes,Yes,Yes,No,No,Fair
D30099,27,47.0,2.54,2,26.1,7.7,26.0,2,96.0,6,4,5.0,7,0,2,72.0,20.0,3.9,Prefer not to say,Unemployed,India,Smartphone,No Fixed Routine,No,Yes,Yes,No,Yes,Poor
D30100,41,26.0,1.72,0,22.2,7.6,41.0,3,57.0,5,5,5.0,5,2,4,45.0,41.0,3.9,Male,Employed Full-time,Germany,Smartphone,Reading,Yes,Yes,No,No,No,Fair
D30101,41,19.0,1.0,0,21.6,7.8,17.0,1,204.0,5,6,5.0,6,2,2,74.0,86.0,0.0,Male,Employed Part-time,India,Smartphone,Watching Videos,No,Yes,Yes,No,No,Good
D30102,21,24.0,2.91,1,21.5,7.7,29.0,5,72.0,4,5,5.0,4,4,8,66.0,56.0,1.7,Prefer not to say,Employed Full-time,United States,Smartphone,,Yes,Yes,Yes,Yes,No,Good
D30103,31,26.0,2.2,2,16.9,7.4,20.0,1,34.0,3,4,5.0,4,0,1,37.0,1.0,4.2,Male,,India,TV,,Yes,Yes,No,No,No,Fair
D30104,27,78.0,6.91,4,16.1,6.8,54.0,2,95.0,7,8,4.0,6,5,4,65.0,139.0,8.4,Male,Student,India,Smartphone,Scrolling Social Media,No,Yes,Yes,No,Yes,Poor
D30105,21,13.0,1.0,0,11.4,7.6,22.0,0,82.0,3,5,5.0,6,2,0,78.0,24.0,4.0,Female,Employed Full-time,Brazil,Smartphone,Meditation/Journaling,Yes,Yes,No,No,No,Good
D30106,17,49.0,2.03,0,51.9,8.4,32.0,0,37.0,3,4,5.0,5,2,0,96.0,3.0,0.0,Male,Employed Part-time,UAE,Smartphone,Watching Videos,Yes,Yes,Yes,No,No,Good
D30107,30,44.0,2.29,3,15.4,7.6,28.0,2,160.0,3,6,5.0,8,0,5,43.0,20.0,3.8,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,Yes,No,No,Yes,No,Poor
D30108,32,43.0,1.95,1,46.1,7.7,28.0,0,11.0,6,7,5.0,5,0,0,74.0,84.0,3.7,Male,Employed Part-time,India,Smartphone,No Fixed Routine,No,Yes,Yes,No,Yes,Fair
D30109,19,14.0,1.0,1,13.0,8.5,23.0,2,55.0,6,6,5.0,5,2,4,63.0,28.0,0.0,Male,Student,Philippines,Laptop,Watching Videos,Yes,Yes,Yes,No,No,Good
D30110,29,39.0,4.03,2,21.5,7.8,2.0,0,266.0,6,7,5.0,5,2,1,64.0,4.0,0.0,Male,Employed Part-time,Canada,Smartphone,Reading,Yes,Yes,Yes,No,No,Good
D30111,20,102.0,4.86,4,28.2,6.7,32.0,2,51.0,4,8,5.0,8,0,4,61.0,16.0,9.6,Female,Student,India,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Fair
D30112,27,17.0,3.02,2,10.0,7.0,16.0,0,188.0,3,4,5.0,6,0,1,61.0,14.0,7.8,Male,Unemployed,Australia,Smartphone,Scrolling Social Media,No,No,Yes,No,No,Good
D30113,35,49.0,3.31,2,15.6,8.3,15.0,1,102.0,4,5,5.0,5,0,2,37.0,46.0,0.0,Female,Employed Part-time,Canada,Smartphone,No Fixed Routine,No,Yes,No,Yes,No,Good
D30114,31,12.0,3.47,1,13.1,9.8,18.0,3,,4,7,5.0,6,2,3,61.0,276.0,0.0,Female,Employed Full-time,United States,Tablet,Scrolling Social Media,No,Yes,Yes,Yes,No,Fair
D30115,37,21.0,1.44,0,21.7,7.8,31.0,2,186.0,3,5,5.0,7,1,2,92.0,34.0,0.0,Male,Unemployed,Nigeria,Smartphone,Watching Videos,No,Yes,Yes,No,No,Fair
D30116,24,48.0,4.19,3,11.5,7.9,21.0,2,18.0,7,7,5.0,8,2,4,94.0,28.0,0.0,Male,Employed Full-time,United Kingdom,Smartphone,,No,Yes,Yes,No,No,Good
D30117,18,37.0,2.39,0,36.2,8.2,13.0,0,78.0,6,5,5.0,4,1,0,65.0,22.0,0.0,Female,Student,United Kingdom,Smartphone,Scrolling Social Media,No,Yes,Yes,No,Yes,Good
D30118,25,20.0,2.11,1,17.2,7.9,5.0,2,,5,4,5.0,6,0,5,13.0,16.0,3.3,Female,Student,Nigeria,Smartphone,Scrolling Social Media,No,Yes,Yes,Yes,Yes,Poor
D30119,15,20.0,1.37,0,18.5,7.3,33.0,1,113.0,4,7,5.0,6,1,1,23.0,69.0,7.0,Male,Unemployed,Nigeria,Smartphone,Scrolling Social Media,No,Yes,No,Yes,No,Fair
D30120,41,76.0,5.98,3,23.6,6.9,37.0,1,91.0,4,5,5.0,8,2,1,34.0,109.0,7.3,Prefer not to say,Employed Full-time,United States,Smartphone,Scrolling Social Media,Yes,Yes,No,No,Yes,Poor
D30121,32,43.0,2.65,2,24.0,8.6,32.0,0,134.0,5,7,5.0,7,0,1,87.0,6.0,0.0,Female,Student,UAE,Smartphone,Scrolling Social Media,No,Yes,Yes,Yes,Yes,Good
D30122,21,82.0,4.71,4,20.8,6.3,29.0,2,35.0,9,9,4.0,9,1,2,21.0,200.0,14.5,Female,Employed Full-time,Philippines,Laptop,Watching Videos,No,No,No,No,No,Poor
D30123,21,34.0,3.77,0,37.5,7.4,14.0,1,131.0,7,8,5.0,8,2,1,76.0,5.0,5.4,Male,Student,Germany,Smartphone,,Yes,Yes,Yes,No,No,Good
D30124,25,54.0,5.04,2,29.1,7.6,21.0,2,27.0,1,4,5.0,7,0,3,49.0,3.0,1.4,Female,Employed Full-time,United Kingdom,Smartphone,Scrolling Social Media,No,No,No,No,No,Fair
D30125,18,61.0,5.01,3,20.8,7.8,49.0,3,123.0,3,3,5.0,8,1,4,59.0,17.0,0.0,Male,Student,India,Smartphone,Scrolling Social Media,No,Yes,No,Yes,Yes,Poor
D30126,24,26.0,1.82,1,28.9,6.4,38.0,1,165.0,5,8,5.0,7,1,3,,83.0,13.9,Female,Employed Full-time,India,Smartphone,Scrolling Social Media,Yes,Yes,Yes,No,Yes,Poor
